municipio;mesorregiao;com-clt;militares;sem-clt;conta-propria;empregadores
Água Branca;Sertão Alagoano;790.37;878.39;445.06;355.38;100.00
Anadia;Leste Alagoano;710.06;649.18;432.63;604.05;657.54
Arapiraca;Agreste Alagoano;858.02;1514.9;518.25;714.03;3746.97
Atalaia;Leste Alagoano;653.06;1066.32;389.40;626.31;4095.71
Barra de Santo Antônio;Leste Alagoano;663.69;933.12;396.06;497.72;697.10
Barra de São Miguel;Leste Alagoano;689.63;1531.48;469.65;617.52;3227.25
Batalha;Sertão Alagoano;725.98;1010.49;373.52;544.12;3086.15
Belém;Agreste Alagoano;807.18;694.92;357.75;408.52;16510.73
Belo Monte;Sertão Alagoano;790.25;2230;835.56;316.58;NaN
Boca da Mata;Leste Alagoano;713.74;1018.51;338.88;584.81;2771.85
Branquinha;Leste Alagoano;593.27;775.27;413.29;413.31;1067.70
Cacimbinhas;Agreste Alagoano;1350.85;914.1;293.63;583.05;1020.34
Cajueiro;Leste Alagoano;612.69;1087.25;430.53;722.66;NaN
Campestre;Leste Alagoano;684.12;655.69;420.87;783.51;800.00
Campo Alegre;Leste Alagoano;723.01;746.95;509.87;643.25;3368.64
Campo Grande;Agreste Alagoano;826.43;837.9;381.11;325.61;1161.18
Canapi;Sertão Alagoano;659.76;1200.65;287.33;333.68;NaN
Capela;Leste Alagoano;654.55;706.78;372.69;865.10;2166.88
Carneiros;Sertão Alagoano;688.41;743.59;283.19;235.74;1840.74
Chã Preta;Leste Alagoano;678.79;794.63;353.80;332.42;1224.76
Coité do Noia;Agreste Alagoano;672.04;760.37;400.07;281.02;2163.03
Colônia Leopoldina;Leste Alagoano;669.59;969.82;330.23;604.38;1577.23
Coqueiro Seco;Leste Alagoano;688.1;1017.35;454.72;371.03;1777.90
Coruripe;Leste Alagoano;770.65;583.95;403.18;836.94;2022.19
Craíbas;Agreste Alagoano;657.48;965.99;331.34;345.58;742.52
Delmiro Gouveia;Sertão Alagoano;890.62;1457.66;393.30;597.69;2362.16
Dois Riachos;Sertão Alagoano;730.59;594.67;340.34;388.54;1000.00
Estrela de Alagoas;Agreste Alagoano;651.63;623.94;276.05;288.69;855.14
Feira Grande;Agreste Alagoano;774.65;742.01;319.37;342.83;NaN
Feliz Deserto;Leste Alagoano;589.31;1289.13;441.01;378.76;NaN
Flexeiras;Leste Alagoano;620.61;724.99;510.87;484.43;2222.93
Girau do Ponciano;Agreste Alagoano;627.78;872.67;406.50;293.97;1923.47
Ibateguara;Leste Alagoano;561.49;510;428.89;733.17;356.32
Igaci;Agreste Alagoano;789.73;873.66;411.54;475.16;715.88
Igreja Nova;Leste Alagoano;625.84;899.13;464.97;552.84;150.00
Inhapi;Sertão Alagoano;661.38;710.68;352.97;318.92;8499.86
Jacaré dos Homens;Sertão Alagoano;814.92;773.72;352.85;526.22;2708.82
Jacuípe;Leste Alagoano;596.14;830.09;407.58;463.73;NaN
Japaratinga;Leste Alagoano;708.08;950.59;400.99;644.28;7606.35
Jaramataia;Sertão Alagoano;773.27;830.21;350.46;347.41;3563.25
Jequiá da Praia;Leste Alagoano;630.68;613.81;581.73;291.54;2000.00
Joaquim Gomes;Leste Alagoano;630.16;756.66;386.37;450.70;NaN
Jundiá;Leste Alagoano;679.76;916.18;561.20;771.77;10324.70
Junqueiro;Leste Alagoano;701.19;789.45;417.88;1293.99;2342.72
Lagoa da Canoa;Agreste Alagoano;740.21;967.53;368.10;428.27;NaN
Limoeiro de Anadia;Agreste Alagoano;621.06;858.42;411.68;517.66;3142.19
Maceió;Leste Alagoano;1110.91;3020.49;605.98;1232.93;5932.34
Major Isidoro;Sertão Alagoano;830.41;754.95;322.14;607.40;2297.24
Mar Vermelho;Agreste Alagoano;645.63;583.04;348.30;352.19;NaN
Maragogi;Leste Alagoano;664.9;1342.79;452.00;609.73;2050.97
Maravilha;Sertão Alagoano;823.37;758.75;423.56;329.16;4162.06
Marechal Deodoro;Leste Alagoano;810.2;1853.29;471.40;700.35;4680.90
Maribondo;Agreste Alagoano;691.83;831.23;362.27;688.01;1446.96
Mata Grande;Sertão Alagoano;831.32;543.2;345.33;351.79;2072.05
Matriz de Camaragibe;Leste Alagoano;624.45;830;420.91;564.19;1130.29
Messias;Leste Alagoano;709;768.37;501.79;736.76;1451.81
Minador do Negrão;Agreste Alagoano;622.28;1061.93;335.13;651.79;NaN
Monteirópolis;Sertão Alagoano;545.76;607.13;296.12;393.70;NaN
Murici;Leste Alagoano;593.9;920.72;446.55;624.59;NaN
Novo Lino;Leste Alagoano;755.33;659.65;327.45;783.32;4225.23
Olho d'Água das Flores;Sertão Alagoano;764.09;2342.94;299.30;516.89;2381.07
Olho d'Água do Casado;Sertão Alagoano;721.39;629.51;350.86;415.48;1390.77
Olho d'Água Grande;Agreste Alagoano;513.62;607.87;334.88;267.26;683.48
Olivença;Sertão Alagoano;680.49;831.17;343.60;413.99;1897.85
Ouro Branco;Sertão Alagoano;746.39;959.69;297.72;334.62;2061.45
Palestina;Sertão Alagoano;512.66;740.37;327.62;986.65;240.00
Palmeira dos Índios;Agreste Alagoano;890.31;1593.93;466.94;708.82;3113.30
Pão de Açúcar;Sertão Alagoano;797.74;1175.28;395.87;364.27;505.00
Pariconha;Sertão Alagoano;685.46;906.04;304.95;363.19;1000.00
Paripueira;Leste Alagoano;675.16;1312.25;411.48;539.61;3157.07
Passo de Camaragibe;Leste Alagoano;550.46;986.71;492.30;412.95;404.69
Paulo Jacinto;Agreste Alagoano;874.07;571.38;341.22;453.29;1310.46
Penedo;Leste Alagoano;974.88;1733;469.33;546.36;1160.80
Piaçabuçu;Leste Alagoano;793.67;1049.7;376.01;369.25;778.78
Pilar;Leste Alagoano;785.52;927.41;449.42;486.63;1443.84
Pindoba;Leste Alagoano;594.36;853.12;326.25;655.14;4500.00
Piranhas;Sertão Alagoano;1053.39;1021.18;497.91;468.73;2286.14
Poço das Trincheiras;Sertão Alagoano;656.44;663.33;460.22;457.90;4879.77
Porto Calvo;Leste Alagoano;661.98;905.63;420.38;450.88;1879.71
Porto de Pedras;Leste Alagoano;624.92;703.07;349.85;344.96;2384.31
Porto Real do Colégio;Leste Alagoano;908.78;968.55;346.97;518.84;NaN
Quebrangulo;Agreste Alagoano;793.07;876.97;384.38;586.22;NaN
Rio Largo;Leste Alagoano;771.8;1333.13;485.40;918.48;3447.43
Roteiro;Leste Alagoano;657.69;801.59;445.94;406.35;NaN
Santa Luzia do Norte;Leste Alagoano;680.18;928.41;430.02;716.02;603.26
Santana do Ipanema;Sertão Alagoano;886.21;1038.15;389.48;634.14;3731.23
Santana do Mundaú;Leste Alagoano;715.64;1054.88;327.58;359.17;NaN
São Brás;Agreste Alagoano;736.61;1142.42;370.93;369.58;NaN
São José da Laje;Leste Alagoano;730.87;1081.5;425.83;536.60;2429.07
São José da Tapera;Sertão Alagoano;679.35;1228.95;296.56;365.97;1129.20
São Luís do Quitunde;Leste Alagoano;652.22;764.81;414.60;563.46;2332.07
São Miguel dos Campos;Leste Alagoano;896.07;1130.04;456.67;862.87;3639.98
São Miguel dos Milagres;Leste Alagoano;648.01;941.81;385.70;422.60;654.24
São Sebastião;Agreste Alagoano;733.12;1246.72;320.25;356.21;4677.28
Satuba;Leste Alagoano;812.55;1306.08;534.83;824.12;21860.07
Senador Rui Palmeira;Sertão Alagoano;687.32;588.42;254.57;268.00;519.05
Tanque d'Arca;Agreste Alagoano;660.13;558.79;352.29;361.70;1352.40
Taquarana;Agreste Alagoano;586.67;1128;278.92;360.45;1500.00
Teotônio Vilela;Leste Alagoano;719.08;753.11;385.99;475.78;5240.01
Traipu;Agreste Alagoano;852.14;1029.78;337.35;353.92;4336.32
União dos Palmares;Leste Alagoano;810.41;1023.95;400.77;698.55;3057.12
Viçosa;Leste Alagoano;626.87;1015.34;347.16;640.16;3382.29
